Name,Employees,Website,Turnover,Reg Number,EBITDA
Lumina Technologies Ltd,10,Luminatech.co.uk,,03536183,
Nu Concept Solutions Ltd,8,Nuconcept.solutions,,03538148,
Zalaris UK Limited,48,Roc-group-sg.com,"£6,385,921 ",03538201,"£950,675 "
Claytex Services Limited,23,Claytex.com,,03539836,
Itec Systems Limited,29,Itris.co.uk,,03539993,
Clockwork Creative Technology Limited,7,Clockwork1.com,,03541972,
Open Destinations Limited,24,Travelbuilder.co.uk,,03542910,
Creation Interactive Limited,22,Creation.co,,03543711,
Asset Control Technology Limited,33,Asset-control.com,"£10,530,000 ",03545596,"£2,308,000 "
MT Services Computer Systems Limited,23,Mtservices.co.uk,,03547105,
Mark One Consultants Limited,40,Monec.co.uk,,03551269,
Ses Secure Limited,12,S-e-suk.co.uk,,03551656,
Measurement Solutions Limited,19,Measurement-solutions.co.uk,,03554724,
Automated Control Solutions Limited,24,Automatedcontrol.solutions,,03555095,
Discovery Design Limited,11,Discoverydesign.co.uk,,03556279,
DWF 360 Limited,18,Claimbase.com,"£1,560,316 ",03556829,"£59,790 "
Xpo It Services Limited,17,Xpoitservices.co.uk,,03557716,
Thedata Limited,8,Thedata.co.uk,,03560295,
Elyzium Limited,7,Elyzium.co.uk,,03561468,
ADC Technology Training Limited,6,Adccollege.eu,,03563169,
PKS Services Limited,9,Pksservices.co.uk,,03564403,
Customer Service Insight Limited,6,,,03565515,
Xor Software Limited,8,Xors.com,,03566560,
Kriston Technology Limited,19,Ktecltd.com,,03568551,
Signals Limited,12,Signals.co.uk,,03568955,
3RD Eye Vision Limited,9,3ev.com,,03569896,
Sysmedia Limited,7,Subtitling.com,,03570597,
Bondgate I.T. Services Limited,24,Bondgate.co.uk,,03573055,
E.S. Systems Ltd,11,Essystems.co.uk,,03573315,
Ontraq Limited,6,Ontraq.com,,03577538,
SBK Computers Ltd,18,Sbk.co.uk,,03578191,
Munro's Consultancy Services Ltd,6,Munros-consulting.com,,03582938,
Flywheel It Services (East Midlands) Limited,14,Teknet.co.uk,,03585182,
Flare Solutions Limited,12,Flare-solutions.com,,03588650,
Dot Group Limited,9,Dotgroup.co.uk,,03588863,
Global Instrumentation Limited,29,Globalinstrumentation.org,,03589504,
Infotex UK Limited,18,Infotex.co.uk,,03589880,
Iconology Ltd,9,Iconology.co.uk,,03591438,
Cognisco Limited,13,Cognisco.com,,03592269,
Magus Research Limited,24,Crownpeak.com,,03592714,
Graphitas Limited,8,Graphitas.co.uk,,03592971,
Addsecure Limited,22,Chironsc.co.uk,,03593453,
Rawnet Limited,45,Rawnet.com,,03593941,
Metcloud Limited,20,Met.co.uk,,03594373,
Eol It Services Ltd,45,Eolitservices.co.uk,"£5,962,688 ",03596433,"(£3,209,525)"
Cambridge Networks Ltd,18,Cambridgenetworks.co.uk,,03596759,
Breeze (It) Limited,9,Breeze-it.com,,03597134,
Yamgo Ltd,7,Yamgo.mobi,,03597254,
Millennium Videographics Limited,10,Mvgmedia.com,,03597321,
Selectscience Limited,75,Selectscience.net,"£9,004,713 ",03597730,"£2,648,566 "
Projective Limited,40,Projectiveltd.co.uk,"£3,881,851 ",03597942,"£378,203 "
Coolspirit Limited,29,Coolspirit.co.uk,,03600170,
Saturn Visual Solutions Limited,25,Saturnvisual.com,,03600445,
Nexus Open Systems Limited,47,Nexusos.co.uk,,03603046,
DMC Software Solutions Limited,43,Dmcsoftware.co.uk,,03603403,
Arum Systems Ltd,57,Arum.co.uk,"£7,830,592 ",03603562,"£1,599,265 "
Cubematch Limited,14,Cubematch.com,,03605723,
Meganexus Ltd,17,Meganexus.com,,03606348,
Matinee Sound & Vision Limited,16,Matinee.co.uk,,03606770,
Span Network Solutions Limited,7,Span-networks.co.uk,,03607247,
Fat Beehive Limited,25,Fatbeehive.com,,03608544,
NV5 Geospatial Solutions UK Limited,13,Harrisgeospatial.com,"£1,391,061 ",03608565,"£75,573 "
Tsunami Computers Limited,10,Tsunamicomputers.co.uk,,03608885,
Information Risk Management Limited,22,Irmsecurity.com,"£1,047,548 ",03612719,"(£532,954)"
Pringle Computer Systems Limited,8,Pringlepcs.co.uk,,03613187,
 Inspired Networks Limited Inspirednetworks.co.uk,6,Inspirednetworks.co.uk,,03614063,
Cititec Talent Limited,17,Cititec.com,,03614377,
Edward Friel & Co Limited,7,Edwardfriel.co.uk,,03614519,
Elsym Consultancy Limited,9,Elsym.com,,03615563,
4 I T Recruitment Limited,14,4itrecruitment.co.uk,,03615595,
3B Systems Ltd,8,3bsystems.co.uk,,03617284,
Tyler Consultants Limited,6,Tcmarketing.co.uk,,03617675,
Ekcs UK Limited,12,Expresskcs.com,,03618073,
Advacom Limited,6,,,03622658,
Yarm Computers Limited,15,Yarmcomputers.co.uk,,03623613,
Ebusiness UK Limited,10,Ebusinessuk.com,,03624171,
Euler Dataops & Analytics Limited,46,Qbase.net,,03624203,
Support Revolution Limited,40,Pdg-consulting.com,,03626045,
Netaccess Software Limited,12,Netaccess-software.com,,03629905,
Insight Media Internet Limited,7,Insight-media.co.uk,,03631231,
CHS Networks Limited,19,Chsnetworks.com,,03632235,
Fineos UK Limited,12,Fineos.com,"£1,521,785 ",03632946,"£72,722 "
Water Intelligence International Ltd,46,Waterintelligence.co.uk,"£1,945,386 ",03634838,"(£61,476)"
C.S.I. (Manchester) Limited,35,Csimedia.net,,03635017,
Green Hills Software Ltd,10,Ghs.com,,03635298,
Finansys Solutions Limited,23,Finansys.co.uk,,03636703,
FLP Solutions Ltd,16,Flp4it.com,,03638249,
Education Lincs Limited,7,Education-lincs.com,,03640750,
Ness Global Services Limited,17,Ness-tech.eu,"£49,229,000 ",03641840,"£2,765,000 "
Forfront Limited,27,Forfront.com,,03643637,
Opaltec International Limited,24,Opaltechnology.com,,03644095,
Technology Partners Limited,11,Technologypartners.co.uk,,03645499,
PC Service Ltd,6,Pcservicegroup.co.uk,,03648094,
Firemelon Ltd,37,Firemelon.com,,03650601,
Knibbs Computer Services Ltd,6,Knibbs.com,,03651449,
Tyrrell Systems Limited,16,Tyrrellsystems.com,,03651876,
Realnet Limited,10,Realnet.co.uk,,03652988,
Fidessa Buy-Side Limited,36,Fidessa.com,"£14,437,000 ",03656437,"£12,525,000 "
J & J Systems UK Limited,18,Jjsystems.co.uk,,03657174,
Data Intensity Limited,27,Redstk.com,"£11,010,000 ",03659692,"£594,000 "
Managed Information Technologies Limited,59,Beaver.group,"£10,921,000 ",03660868,"£1,587,000 "
Acardia Technology Limited,6,Acardia.co.uk,,03663304,
Expand Executive Search Ltd,19,Expandexecutivesearch.com,,03663544,
Onega Ltd,12,Onega.net,,03664883,
Jemmac Software Limited,21,Jemmac.com,,03667442,
Advanced Engine Research Limited,27,Aerltd.com,,03668354,
Klik It Limited,10,Klik-it.com,,03669017,
CXM Tech Services UK Ltd,20,Lantec.eu.com,,03670057,
Modular Connected Solutions Ltd,13,Mcsuk.com,,03670112,
Claromentis Limited,24,Claromentis.com,,03672955,
Gradwell Communications Limited,78,Gradwell.com,"£12,483,000 ",03673235,"£1,472,000 "
Rade New Media Limited,9,Rade.net,,03673531,
DMC Solutions Limited,6,Dmcsolutions.co.uk,,03674758,
Arepo Solutions Limited,9,Arepo.com,,03676646,
Ergo Limited,27,Ergogroup.co.uk,,03678650,
Gob2b Limited,18,Aspidistra.com,,03678831,
Destinet Limited,13,Newzapp.co.uk,,03679291,
Medical Connections Ltd,9,Medicalconnections.co.uk,,03680043,
European Raid Arrays Limited,23,Eraltduk.com,,03680211,
Associated Technology Pipeline Limited,15,Atpuk.co.uk,,03680331,
Solutions 4 It Limited,14,Solutions4it.co.uk,,03680558,
Multibrands International Limited,15,Multibrands.eu.com,,03680871,
Baytree Labs Ltd,8,Baytreelabs.com,,03682012,
Computeam Limited,100,Computeam.co.uk,"£11,551,000 ",03683744,"£893,000 "
Mediasterling Limited,22,Mediasterling.com,,03683954,
Atomic Multimedia Consultants Limited,48,Atomicmedia.co.uk,,03685052,
Komputer Consultancy Services Limited,44,Kcsltd.co.uk,,03686163,
Meroncourt Europe Limited,6,Meroncourt.co.uk,,03687015,
Systems & Network Training Limited,12,Snt.co.uk,,03688228,
Amadeus Hospitality UK Limited,43,Amadeus-hospitality.com,"£15,447,000 ",03689584,"£876,000 "
Harry Shaw Business Computers Ltd,6,Harryshaw.net,,03689857,
Tempura Communications Ltd,12,Tempurauk.net,"£10,623,000 ",03690731,"£596,000 "
Ardent Group 365 Limited,12,Ardentapc.co.uk,,03695148,
Ige + Xao Limited,9,Ige-xao.com,"£530,977 ",03696017,"(£161,998)"
Northstar Services Ltd,9,Northstarltd.co.uk,,03697844,
Ebt Maintenance Ltd,7,Ebtmaintenance.co.uk,,03698614,
Fast React Systems Limited,13,Fastreact.com,"£4,236,917 ",03698622,"(£261,369)"
The Security Company (International) Limited,15,Thesecurityco.com,,03703393,
Orbis Software Limited,42,Orbis-software.com,,03704171,
Sicon Limited,68,Sicon.co.uk,"£7,157,761 ",03705644,"£1,873,163 "
Con Ed Limited,7,Con-ed.co.uk,,03705702,
SCG South West Limited,13,Eurolinkconnect.com,,03707357,
MNP Media Limited,25,Mnpmedia.com,,03708524,
Control 2K Limited,8,Control2k.co.uk,,03709130,
M T B Computer Services Limited,8,Interhost.co.uk,,03710714,
Leven Consultants Limited,28,Firstfound.co.uk,,03710736,
Wittenstein High Integrity Systems Limited,47,Wittenstein.de,,03711047,
Coretek Limited,10,Coretek.co.uk,,03711700,
Outeredge UK Ltd,6,Outeredgeuk.com,,03712531,
Blazie Engineering Limited,10,Blazie.co.uk,,03715365,
Extra Resource Limited,10,Document-genetics.co.uk,,03715580,
Greenpoint Computer Services Limited,15,Gpoint.co.uk,,03715646,
Mela Solutions Limited,12,Mela.co.uk,,03715812,
Bankside Systems Limited,7,Banksidesystems.co.uk,,03716335,
Tek-Nology Solutions Limited,7,Tek-nologysolutions.co.uk,,03716988,
Kingfisher Associates (UK) Ltd,24,Kfa.co.uk,,03718252,
CDVI Ltd,24,Cdvi.co.uk,,03719229,
Intuitive Engineering Solutions Limited,24,Intuitive.uk.com,,03719918,
Fitzrovia I.T. Limited,62,Fitzroviait.com,"£8,487,319 ",03720812,"£1,174,574 "
Elmstone Systems Limited,19,Elmstonesystems.co.uk,,03721193,
Aspen Technologies Limited,6,Aspentech.co.uk,,03722646,
Waer Systems Limited,20,Waersystems.com,"£2,813,184 ",03723453,"£400,802 "
Doulos Limited,27,Doulos.com,,03723454,
Precedence Technologies Ltd,6,Precedence.co.uk,,03725626,
Assettrac Limited,10,Assettrac.co.uk,,03726360,
 Databasics Hospitality Systems Limited Hotelperfect.co.uk,21,Hotelperfect.co.uk,,03727106,
Logex Healthcare Analytics Ltd,20,Prodacapo.co.uk,,03727117,
Comxo Holdings Limited,6,Comxo.com,"£590,801 ",03727666,"£347,709 "
Delivery Software Ltd,10,Borsdane.com,,03727933,
Production Science Limited,6,Productionscience.com,,03728180,
Welldata Ltd,24,Welldata.co.uk,,03728729,
Crash Media Group Limited,19,Crash.net,,03729433,
Arkom Limited,8,Arkom.co.uk,,03730754,
Oakley Global Business Solutions Ltd,10,O-net.co.uk,,03731162,
Risk Free (UK) Limited,12,Riskfree.co.uk,,03733749,
Oak Engage Limited,52,Orchidsoft.com,,03734477,
Odin Technology Limited,6,Odin.co.uk,,03735083,
X:Drive Computing Limited,11,Xdrive.co.uk,,03736333,
Tekuchi Ltd,9,Tekuchi.com,,03736988,
Fulcrum It Services Ltd,8,Fulcrumit.co.uk,,03741699,
Sanderson Limited,67,Sanderson.com,"£5,527,000 ",03743507,"£2,872,000 "
Red ANT Digital Limited,39,Redant.com,"£4,939,418 ",03744529,"£519,311 "
Contemi Solutions (London) Limited,32,Dionglobal.com,,03744660,
Et Works Ltd,24,Eurotech-computers.com,"£7,814,743 ",03746274,"£265,010 "
Project Development Consultants Limited,6,Pdcnet.org.uk,,03747244,
Manchester It Services Limited,11,Manchesterit.com,,03747432,
Evergreen Computing Limited,7,Evergreencomputing.com,,03747553,
Intralan Group Limited,21,Intralan.co.uk,,03748995,
Weblogik Limited,7,Weblogik.co.uk,,03749886,
I.Net Internet Services Limited,7,Inetservices.co.uk,,03752303,
Serversys Limited,16,Serversys.com,,03752655,
Business Computing And Network Services Limited,11,Bcns.co.uk,,03754929,
Electrical Data Warehouse (UK) Limited,6,Edw-uk.com,,03757287,
Truecommerce (Manchester) Limited,34,Truecommerce.com,,03757963,
Elite Limited,7,Elite.net.uk,,03759064,
Wyvern Business Systems Limited,29,Wbs.uk.com,,03759602,
Kefron International Limited,15,Lightsol.co.uk,,03760270,
Synchronoss Technologies Data Centre Limited,10,Criticalpath.net,"£1,337,000 ",03760330,"£396,000 "
M.A.C. Solutions (UK) Limited,41,Mac-solutions.net,,03762835,
Watergates Ltd,35,Watergates.co.uk,,03768376,
Healthcare Interaction Limited,11,Salesinteraction.com,,03768487,
Sefas Innovation Limited,12,Sefas.com,,03769761,
Strawberry Global Technology Limited,14,Strawberrygt.com,,03769882,
Applied Software Engineering Limited,9,Appliedsoftware.co.uk,,03770680,
Comtec Enterprises Limited,13,Comtecpower.com,,03772881,
N.E. Solutions Limited,7,Nesolutions.co.uk,,03772995,
Northstar Technology Limited,9,Northstaritservices.co.uk,,03777067,
Three Cherries Limited,13,Threecherries.co.uk,,03779503,
Rocktime Limited,16,Rocktime.co.uk,,03781061,
Engineering Solutions & Automation Limited,8,Esa-uk.co.uk,,03781279,
Netdespatch Ltd,7,Netdespatch.com,,03782712,
Systemagic Limited,18,Systemagic.co.uk,,03783400,
Committedgiving Ltd,12,Committedgiving.uk.net,,03783923,
Solutions Squared Limited,6,Solutions-squared.com,,03785076,
Optivity Limited,13,Optivity.co.uk,,03785590,
Integrity360 International Holdco Limited,46,Gbsolutions.org.uk,"£14,488,000 ",03786249,"£1,520,000 "
Vision33 Limited,72,Vision33.co.uk,"£11,121,000 ",03786914,"£607,000 "
Immix Software Limited,22,Sureviewsystems.com,,03787244,
MCS Solutions Limited,69,Mcs.co.uk,"£10,015,000 ",03787259,"£1,857,000 "
Qic Systems Limited,8,Qicsystems.com,,03787376,
Knowall I.T. Ltd,18,Knowall.net,,03787958,
Cardonet Limited,9,Cardonet.co.uk,,03788276,
Alchemy Systems (Western) Ltd,10,Alchemysys.co.uk,,03788401,
Secon Cyber Security Ltd,11,Seconcyber.com,,03788567,
Italik Limited,24,Italik.co.uk,,03788579,
Anodas Software Limited,6,Anodas.com,,03788673,
W@Btech Limited,7,Smurk.co.uk,,03789018,
Icit Business Intelligence Limited,26,Icitbi.com,,03789243,
Retail Assist Limited,100,Retail-assist.co.uk,"£4,285,802 ",03790674,"(£434,783)"
Logic Networks Limited,6,Logicnetworks.co.uk,,03791030,
Escalus Software Systems Ltd,10,Expensys.com,,03791750,
Flywheel It Services (West Midlands) Limited,12,Ecommdigital.co.uk,,03792227,
Zizo Software Limited,10,Zizo.co.uk,,03793785,
ISN Solutions Limited,15,Isnsolutions.co.uk,,03794103,
Myson Consulting Limited,16,Mysonpages.com,,03794475,
Recipero Limited,23,Recipero.com,,03794898,
Compuweb Communications Services Limited,25,Cwcs.co.uk,,03798604,
Assembly Media Limited,32,Edelman.co.uk,"£9,452,241 ",03799115,"£114,782 "
Quad Computer Services Ltd,10,Quad.co.uk,,03799485,
Vivid Creative Limited,12,Vividcreative.com,,03799848,
Cool Waters Consulting Limited,7,Cool-waters.co.uk,,03800575,
Welcom Digital Limited,35,Welcom.co.uk,,03801746,
Planet PMS UK Limited,25,Hoistgroup.com,,03802550,
Cammax Limited,42,Cammaxlimited.co.uk,"£2,600,343 ",03803278,"£110,795 "
Infrasoft Technologies Limited,12,Infrasofttech.com,,03804290,
Blue Level Media Limited,6,Bluelevel.co.uk,,03804403,
United Technologies UK Limited,13,Unitedtechnologies.co.uk,,03805286,
Kudos Manufacturing Solutions Limited,21,Kudossolutions.co.uk,,03806038,
Styletech Solutions Limited,24,Styletech.co.uk,,03806289,
Global Initiative Limited,13,Global-initiative.com,,03806415,
Optix Solutions Ltd,25,Optixsolutions.co.uk,,03809918,
Aca Systems Support Limited,6,Acasystems.co.uk,,03810763,
Crusade Computer Solutions Limited,9,Crusade-cs.co.uk,,03811169,
Big Picture (Software) Limited,6,Bigpicturesoft.com,,03811463,
Remote Recordings Ltd,16,Remotenewmedia.com,,03811797,
Hotlizard Limited,6,Hotlizard.net,,03811966,
Owtanet Limited,10,Owta.net,"£584,729 ",03812018,"(£249,073)"
JK Tech UK Limited,6,Jktech.com,"£3,024,120 ",03812106,"£64,585 "
Bio Trading Limited,30,Bio.uk.com,,03812170,
Riskaware Limited,33,Riskaware.co.uk,,03812608,
Corcentric Limited,26,Netsend.com,,03814021,
Prolifics Testing UK Limited,21,Etesting.com,"£2,442,443 ",03814910,"£101,788 "
Livewire Voice & Data Communications Limited,7,Livewireltd.com,,03815201,
Open Reality Limited,16,Openreality.co.uk,,03818340,
Square Box Systems Limited,7,Squarebox.com,,03819556,
 E-Tec Power Management Limited E-tecpowerman.com,16,E-tecpowerman.com,,03819711,
Create Internet Ltd,9,Create.net,,03821624,
Acit Solutions Limited,12,Acitsolutions.com,,03822007,
Alpha Technology Systems Limited,7,Alphatechonline.co.uk,,03822587,
Real Time Information Systems Ltd,8,Rtis.co.uk,,03822888,
Creo Interactive Ltd,10,Creo.co.uk,,03826755,
BVS Training Limited,6,Bvs.co.uk,,03826869,
Cutec Ltd,22,Cutec.co.uk,,03827758,
Pxtech Limited,28,Pxtech.net,,03828076,
Artlogic Media Limited,86,Artlogic.net,,03829035,
John Ledger Ltd,6,Johnledger.net,,03835156,
Thoughtbubble Limited,7,Thoughtbubble.com,,03835394,
Inspec Solutions Ltd,31,Inspecsolutions.co.uk,,03835537,
Chorus It Limited,93,Chorusit.com,,03836029,
Adaptive Control Solutions Limited,12,Adaptivecontrol.co.uk,,03837714,
Stopford Information Systems Limited,27,Stopford.com,,03837891,
T J S Online Limited,6,Tjs.co.uk,,03838225,
Skillweb.Co.UK Ltd,14,Skillweb.co.uk,,03838280,
Digital Healthcare Limited,13,Emishealth.com,"£2,591,000 ",03838790,"£1,304,000 "
Motor Design Limited,30,Motor-design.com,"£12,072,000 ",03840137,"£8,317,000 "
Sticky Content Limited,24,Stickycontent.com,"£2,990,000 ",03840274,"(£440,000)"
Datel Services Limited,20,Datelservices.co.uk,,03841133,
360 Systems Limited,7,360-systems.com,,03842338,
Softwerx Ltd,47,Softwerx.com,"£9,329,224 ",03842427,"(£66,743)"
Clubwise Software Limited,39,Clubwise.com,,03843268,
2 Simple Limited,34,2simple.com,,03843465,
Procheckup Limited,17,Procheckup.com,,03843730,
HGL Dynamics Limited,32,Hgl-dynamics.com,,03844513,
Viscount Consultants Limited,7,Viscountfiresafety.com,,03844573,
OSF Digital UK Ltd,46,Blue-leaf.co.uk,"£18,620,000 ",03844574,"£412,000 "
Zircon Software Limited,29,Zirconsoftware.co.uk,,03844938,
Two10degrees Limited,7,Two10degrees.com,,03844968,
Demopad Software Ltd,6,Demopad.com,,03846918,
Structured Network Solutions UK Limited,24,Snsuk.co.uk,,03851331,
Cerulean Solutions Limited,12,Cerulean.co.uk,,03852868,
Mr Control Ltd,9,Mrcontrol.co.uk,,03853288,
Absolute Integrated Agency Ltd,11,Absolutemedia.co.uk,,03853396,
F.1. Help Limited,17,F1group.com,,03854638,
Eutopia Solutions Ltd,8,Eutopiaonline.com,,03855055,
Netprotocol Ltd,20,Netprotocol.net,,03856449,
Simcorp Coric Limited,18,Simcorp.com,"£9,627,931 ",03856557,"£1,231,240 "
Midland Computers Ltd,27,Midlandcomputers.com,,03857880,
Novus Networks Limited,34,Novus.co.uk,,03858005,
Phoenix Carpet Sales Limited,9,Phoenixcarpetsales.co.uk,,03859061,
Intech Centre Limited,10,Intechcentre.com,,03859575,
Quicksilva Limited,29,Qxlva.com,,03860799,
Alpha Business Communications Ltd,16,Alpha-business.com,,03860975,
Chersoft Limited,29,Chersoft.co.uk,,03861633,
Instem Scientific Limited,7,Instem.com,"£958,000 ",03861669,"(£792,000)"
Xanda Limited,42,Xanda.net,,03862871,
Network Installation Solutions Limited,31,Ni-solutions.co.uk,,03863441,
3 Chillies Limited,29,3chillies.co.uk,,03864420,
Bright Interactive Limited,45,Bright-interactive.com,,03865036,
Volute Limited,6,Volute.co.uk,,03865805,
3a It Limited,9,3ait.co.uk,,03866698,
Angel Solutions Ltd,47,Angelsolutions.co.uk,,03866805,
Alpha Omega Computers Limited,6,Aoc-uk.com,"£256,313 ",03867142,"£52,126 "
One Future Communications Limited,7,Onefuture.co.uk,,03867149,
Healthcode Limited,77,Healthcode.co.uk,"£12,038,000 ",03867872,"£2,589,000 "
PHM Group Limited,28,Phm.co.uk,,03869262,
Trusted Technology Partnership Ltd,93,Healthcarecomputing.co.uk,,03869398,
Dynamic Technologies Europe Ltd,34,Dteuro.com,"£20,528,000 ",03869630,"£2,736,000 "
Hobb Computer Services Limited,8,Hobb.co.uk,,03871538,
I7 Technologies Limited,6,I7technologies.co.uk,,03872542,
CSC Brand Protection Limited,26,Netnames.com,"£2,680,000 ",03872790,"£382,000 "
Vitesse Limited,43,Laserlife.co.uk,,03873327,
Legalwebb UK Limited,6,Legalweb.org.uk,,03874311,
Irisoft Limited,8,Irisoft.co.uk,,03875037,
T101 Limited,21,T101.com,,03877939,
Lorensbergs Limited,20,Lorensbergs.co.uk,,03878554,
Lumesse Limited,18,Lumesselearning.com,"£5,999,000 ",03879877,"£19,145,000 "
Cool-Syte Limited,11,Exhibit3sixty.co.uk,,03880747,
SJL Printmedia Limited,8,Printmedialtd.com,,03882182,
E-Com Group Limited,7,Ecom-uk.com,,03883121,
Potenza Technology Limited,31,Ptech.co,,03883223,
Nasstar Trading Limited,16,E-know.net,"£10,039,000 ",03883933,"£4,221,000 "
Electronics Direct Limited,52,Electronics-direct.com,"£12,285,000 ",03884011,"(£53,000)"
23 Limited,9,Idebate.org,,03885216,
Cannon Tomlinson Mansley Limited,22,Ctm-it.com,,03886157,
Pond Group Limited,11,Pondgroup.com,,03886757,
Net Builder Limited,22,Netbuilder.com,,03886800,
Onevision Software (UK) Limited,6,Onevision.com,,03887887,
Life It Limited,23,Lifeit.co.uk,,03890186,
Prototec Software Limited,7,Themobileagent.co.uk,,03890667,
Gigastream Limited,8,Gigastream.co.uk,"£916,584 ",03891612,"£290,662 "
Kaweb Limited,26,Kaweb.co.uk,,03891664,
Software Into Action Limited,9,Softwareintoaction.co.uk,,03893040,
Erlang Solutions Ltd,31,Erlang-solutions.com,"£13,574,000 ",03893360,"£1,854,000 "
Cheeky Munkey Limited,39,Cheekymunkey.co.uk,,03893540,
T Vision Technology Ltd,38,Tvisiontech.co.uk,,03896968,
Microclimate International Limited,7,Microclimate.co.uk,,03897308,
E-Tabs Limited,12,E-tabs.com,,03897657,
Clevermed Limited,67,Clevermed.com,"£7,549,000 ",03899440,"(£6,533,000)"
Channel Comms Ltd,17,Southern-comms.co.uk,,03899940,
Mrs Web Solutions Limited,36,Mrswebsolutions.com,,03900283,
Net-Work Internet Ltd,6,Net-work.net,,03900685,
Senior Internet Limited,6,Senior.co.uk,,03901114,
Ultima Thule Technology Limited,8,Thulemedia.co.uk,,03901285,
Tahola Limited,23,Tahola.com,,03902670,
Paramex Limited,9,Paramex.com,,03902901,
 Radware (UK) Limited Radware.co.uk,11,Radware.co.uk,"£2,360,020 ",03903389,"£137,936 "
Safetynet Solutions Limited,27,Safetynetsolutions.co.uk,,03903968,
Total Group International Limited,14,Totalgroup.co.uk,,03907408,
First Stop I.T. Limited,18,Firststopit.co.uk,,03907462,
MCS Rental Software Limited,69,Mcs.co.uk,"£8,754,624 ",03907530,"£2,337,544 "
Dionach Ltd,41,Dionach.com,"£5,162,415 ",03908168,"(£96,369)"
Pathlock UK Ltd,9,Qsoftware.com,,03908785,
Easy Software (UK) Ltd,6,Easysoftware.co.uk,,03909188,
Ebix Europe Limited,46,Ebix.co.uk,"£4,811,000 ",03909745,"(£3,455,000)"
First Internet Marketing Limited,20,Firstinternet.co.uk,,03909773,
Valueworks Limited,10,Valueworks.co.uk,,03910513,
Halifax Computers Limited,10,Halifaxcomputers.co.uk,,03910620,
Vision ICT Limited,7,Council.visionict.com,,03911169,
Ecce Media Limited,9,Eccemedia.com,,03911569,
Servicetec Airport Services International Limited,43,Servicetec.com,"£1,890,500 ",03911760,"(£148,044)"
Milsteda Systems Limited,33,Milsteda.info,,03911806,
Communications Solutions UK Limited,12,Com-solutions.co.uk,,03913465,
CTMS Service Management Ltd,10,Ctms-uk.com,,03915670,
Purple Matrix Limited,33,Purplematrix.co.uk,,03915823,
Intrasource Limited,15,Intrasource.co.uk,,03916612,
Systemware Europe Limited,7,Sysware-europe.com,,03916672,
Bunnyfoot Ltd,38,Bunnyfoot.com,,03916863,
Audio Related Technology Limited,6,Audiorelated.com,,03917465,
Matrix Ip Limited,6,Matrixip.co.uk,,03917799,
Testhouse Limited,14,Testhouse.net,,03920400,
ADM Computing Ltd,9,Adm-partnership.co.uk,,03920964,
Lantek Systems Limited,12,Lanteksms.com,,03921266,
Conigi Limited,7,Conigi.com,,03921642,
Attock Network Products Limited,11,Attock.co.uk,,03921951,
Tradedoubler Limited,43,Tradedoubler.com,"£27,106,000 ",03921985,"£416,000 "
Bestoutcome Limited,24,Bestoutcome.com,"£1,893,509 ",03922318,"(£191,262)"
Signifo Ltd,86,Webexpenses.com,"£9,215,357 ",03922382,"(£381,861)"
Price Engines Limited,12,Priceengines.co.uk,,03922900,
Programus Limited,9,Programus.co.uk,,03923052,
BCN Group (Runcorn) Ltd,15,Polymorph.co.uk,,03923110,
Acclaim Safety Systems Limited,10,Prime-systems.net,,03923418,
Now Wireless Limited,10,Nowwireless.net,,03924160,
Signagelive Limited,30,Signagelive.com,"£3,815,056 ",03924279,"(£194,854)"
Y3K (Europe) Limited,7,Y3k.com,,03924841,
Opening The Book Limited,9,Openingthebook.com,,03925152,
KTSL Limited,25,Ktsl.com,,03926836,
Teneo Limited,36,Teneo.net,"£12,603,000 ",03928202,"(£121,000)"
Graduate-Jobs.Com Limited,8,Graduate-jobs.com,,03928623,
Nest Management Limited,35,Nestmanagement.co.uk,,03928678,
Freestyle Interactive Limited,23,Freestyle.agency,,03928921,
Planet Interactive ARTS Limited,7,Planet-ia.com,,03930970,
Edward Robertson Limited,21,Edwardrobertson.co.uk,,03931089,
Idox Geospatial Ltd,38,Emapsite.com,"£12,318,000 ",03931726,"£1,497,000 "
Clickingmad Limited,11,Clickingmad.com,,03933286,
Leasing.Com Group Ltd,24,Contracthireandleasing.com,,03934283,
Risc It Solutions Limited,24,Riscitsolutions.com,,03935051,
Syntura Group Limited,66,Hso.co.uk,"£12,613,000 ",03935705,"£637,000 "
Websalesuk.Com Ltd,8,Wn1-it.com,,03936484,
Webpagesoftware Limited,6,Webpagesoftware.co.uk,,03937283,
Sabre Computer Services Limited,7,Sabrecomputers.co.uk,,03942591,
Clear Skies Software Limited,6,Cssmail.biz,,03943189,
Mtivity Limited,13,Mtivity.com,,03943617,
Quintic Consultancy Limited,6,Quinticsport.com,,03943644,
Open Credo Limited,27,Opencredo.com,,03943999,
Pebble Beach Systems Ltd,81,Pebble.tv,"£10,260,000 ",03944834,"£513,000 "
Lonres.Com Limited,44,Lonres.com,,03945780,
Portico Consulting Ltd,15,Porticoconsulting.co.uk,,03946730,
Oxspring Network Solutions Limited,13,Oxspring.com,,03947534,
Dental Design Products Limited,24,Dental-design-products.co.uk,,03948263,
S8080 Limited,19,S8080.com,,03948363,
Tracsis Rail Technology & Services Limited,24,Iblocks.co.uk,"£4,614,548 ",03949810,"£2,192,537 "
Vardells Limited,19,Vardells.co.uk,,03951087,
